acousticness,billboard_artist,billboard_df_index,billboard_name,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,spotify_album,spotify_artist,spotify_song,tempo,time_signature,type,uri,valence
0.359,tesla,3067.0,love song,0.354,323360.0,0.326,0.0,0vJUdIefT5caKla9H8b1q4,0.0271,7.0,0.104,-9.841,1.0,50.0,1989-01-01,0.0356,The Great Radio Controversy,Tesla,Love Song,165.882,4.0,audio_features,spotify:track:0vJUdIefT5caKla9H8b1q4,0.315
0.0201,bad english,3068.0,price of love,0.348,286040.0,0.444,0.0,56y9EmjGAAejQ6QX9blIGI,1.23e-05,9.0,0.0639,-10.001,1.0,41.0,1989-06-15,0.0288,Bad English,Bad English,Price of Love,138.194,4.0,audio_features,spotify:track:56y9EmjGAAejQ6QX9blIGI,0.241
0.033,go west,3070.0,king of wishful thinking,0.669,241760.0,0.868,0.0,4UQLQJu3DNvVkMVglwElU2,0.0,0.0,0.0991,-7.377,1.0,62.0,1992-11-14,0.0527,Indian Summer,Go West,The King of Wishful Thinking,107.885,4.0,audio_features,spotify:track:4UQLQJu3DNvVkMVglwElU2,0.913
0.157,chicago,3071.0,what kind of man would i be,0.358,253760.0,0.774,0.0,3oCUfoqrkQiapnJk7UL8IE,0.0,0.0,0.182,-6.825,1.0,37.0,2005-01-25,0.0362,Love Songs,Chicago,What Kind Of Man Would I Be? - Remastered Version,176.116,4.0,audio_features,spotify:track:3oCUfoqrkQiapnJk7UL8IE,0.301
0.00642,skid row,3072.0,i remember you,0.345,313693.0,0.531,0.0,4ZpXHlV2vQVfPXUvbDSZ92,7.28e-06,0.0,0.14,-12.708,1.0,65.0,1989-01-24,0.0305,Skid Row,Skid Row,I Remember You,176.302,4.0,audio_features,spotify:track:4ZpXHlV2vQVfPXUvbDSZ92,0.49
0.005,technotronic,3073.0,get up before the night is over,0.794,337093.0,0.731,0.0,2MOOJh1xUgND4rLjB6h4jY,9.05e-05,6.0,0.0766,-11.74,0.0,43.0,1989,0.108,Pump Up The Jam,Technotronic,Get Up (Before The Night Is Over),123.974,4.0,audio_features,spotify:track:2MOOJh1xUgND4rLjB6h4jY,0.674
0.632,gloria estefan,3074.0,here we are,0.697,289707.0,0.481,0.0,6NtDQURC7nQhB7fnwd4Lct,1.92e-05,9.0,0.0954,-14.456,1.0,31.0,1987,0.0332,Let It Loose/Cuts Both Ways/Into The Light (3 Pak),Gloria Estefan,Here We Are,142.154,4.0,audio_features,spotify:track:6NtDQURC7nQhB7fnwd4Lct,0.622
0.0222,faith no more,3075.0,epic,0.358,293653.0,0.893,0.0,4ReyTz0y3TGkX48wO3Llot,0.0524,4.0,0.126,-7.486,0.0,67.0,1989,0.12,The Real Thing,Faith No More,Epic,174.238,4.0,audio_features,spotify:track:4ReyTz0y3TGkX48wO3Llot,0.262
0.727,mariah carey,3076.0,love takes time,0.602,229227.0,0.338,0.0,48l7PNpT2fBoT4cdLW6EzP,0.0,11.0,0.0849,-12.371,1.0,51.0,1990-06-12,0.0293,Mariah Carey,Mariah Carey,Love Takes Time,126.232,4.0,audio_features,spotify:track:48l7PNpT2fBoT4cdLW6EzP,0.25
0.198,cher,3077.0,just like jesse james,0.405,245733.0,0.563,0.0,5JGdpqo9wrRtOZtui5GShI,0.0,8.0,0.0877,-10.136,1.0,43.0,1989-01-01,0.0304,Heart Of Stone,Cher,Just Like Jesse James,137.979,4.0,audio_features,spotify:track:5JGdpqo9wrRtOZtui5GShI,0.478
0.0325,the b 52s,3078.0,love shack,0.715,321573.0,0.817,0.0,4W4wYHtsrgDiivRASVOINL,1.61e-06,5.0,0.851,-6.227,0.0,67.0,1989-06-23,0.0532,Cosmic Thing,The B-52's,Love Shack,133.858,4.0,audio_features,spotify:track:4W4wYHtsrgDiivRASVOINL,0.871
0.0154,milli vanilli,3079.0,all or nothing,0.877,200600.0,0.85,0.0,7sS1P9f8SDyl03hqC1etWU,0.00369,1.0,0.114,-13.03,1.0,27.0,1988-11-14,0.0726,All Or Nothing,Milli Vanilli,All or Nothing,100.733,4.0,audio_features,spotify:track:7sS1P9f8SDyl03hqC1etWU,0.809
0.0759,dino,3080.0,romeo,0.673,256733.0,0.885,0.0,7xez8LRby1hw2nBvse9E9e,1.02e-05,7.0,0.141,-6.791,0.0,10.0,1990,0.0879,Romeo (Remixes),Dino,Romeo - Radio Edit,108.229,4.0,audio_features,spotify:track:7xez8LRby1hw2nBvse9E9e,0.897
0.00359,black box,3081.0,everybody everybody,0.711,247000.0,0.81,0.0,24lF0of2nbQlTYDU8i6glX,1.19e-05,5.0,0.0881,-6.443,0.0,46.0,1990,0.0379,Dreamland,Black Box,Everybody Everybody,117.627,4.0,audio_features,spotify:track:24lF0of2nbQlTYDU8i6glX,0.974
0.0143,billy joel,3082.0,i go to extremes,0.592,263200.0,0.918,0.0,16LYB0chkPiblx33djiNTt,1.25e-05,5.0,0.287,-4.744,1.0,46.0,1989,0.036,Storm Front,Billy Joel,I Go to Extremes,127.095,4.0,audio_features,spotify:track:16LYB0chkPiblx33djiNTt,0.568
0.304,babyface,3083.0,whip appeal,0.456,347773.0,0.537,0.0,3kSRHg7YZPSzJo8sxaBsJD,0.0,11.0,0.12,-7.952,0.0,42.0,2003-06-10,0.0434,The Essential Babyface,Babyface,Whip Appeal - 12-inch Version,73.01,4.0,audio_features,spotify:track:3kSRHg7YZPSzJo8sxaBsJD,0.588
0.267,paul young,3084.0,oh girl,0.57,216373.0,0.575,0.0,0YqhqbLNpfQetrwuLaVTiK,0.0,9.0,0.0823,-7.032,1.0,54.0,1990,0.0318,Other Voices (Expanded Edition),Paul Young,Oh Girl,135.903,4.0,audio_features,spotify:track:0YqhqbLNpfQetrwuLaVTiK,0.421
0.0168,the cover girls,3087.0,we cant go wrong,0.587,316627.0,0.409,0.0,1DTLJp3baHKyTYZMWD4zgp,0.0353,9.0,0.0458,-15.075,1.0,22.0,1989,0.0279,We Can't Go Wrong,The Cover Girls,We Can't Go Wrong,143.639,4.0,audio_features,spotify:track:1DTLJp3baHKyTYZMWD4zgp,0.449
0.377,michael bolton,3088.0,when im back on my feet again,0.429,228267.0,0.326,0.0,47SOobTLWvyZpUfpmuUARJ,0.0,5.0,0.101,-12.703,1.0,41.0,1989-06-27,0.03,Soul Provider,Michael Bolton,When I'm Back On My Feet Again,77.849,4.0,audio_features,spotify:track:47SOobTLWvyZpUfpmuUARJ,0.185
