index,artist_all,artist_base,rank,song,year,artist_featured
25,martha & the vandellas,martha & the vandellas,26,heat wave,1963,
26,randy & the rainbows,randy & the rainbows,27,denise,1963,
27,the rooftop singers,the rooftop singers,28,walk right in,1963,
28,jimmy soul,jimmy soul,29,if you wanna be happy,1963,
29,trini lopez,trini lopez,30,if i had a hammer,1963,
30,the essex,the essex,31,easier said than done,1963,
31,dion,dion,32,ruby baby,1963,
32,ruby & the romantics,ruby & the romantics,33,our day will come,1963,
33,barbara lewis,barbara lewis,34,hello stranger,1963,
34,the ronettes,the ronettes,35,be my baby,1963,
35,the orlons,the orlons,36,south street,1963,
36,henry mancini,henry mancini,37,days of wine and roses,1963,
37,major lance,major lance,38,the monkey time,1963,
38,the four seasons,the four seasons,39,candy girl,1963,
39,the fireballs,the fireballs,40,sugar shack,1963,
40,bill anderson,bill anderson,41,still,1963,
41,bobby vinton,bobby vinton,42,blue on blue,1963,
42,garnet mimms  & and the enchanters,garnet mimms,43,cry baby,1963,
43,lou christie,lou christie,44,two faces have i,1963,
44,ray charles,ray charles,45,busted,1963,
45,the crystals,the crystals,46,da doo ron ron,1963,
46,the shirelles,the shirelles,47,foolish little girl,1963,
47,lonnie mack,lonnie mack,48,memphis,1963,
48,roy orbison,roy orbison,49,in dreams,1963,
49,kai winding,kai winding,50,more,1963,
50,skeeter davis,skeeter davis,51,i can't stay mad at you,1963,
51,brenda lee,brenda lee,52,losing you,1963,
52,roy orbison,roy orbison,53,mean woman blues,1963,
53,bill pursell,bill pursell,54,our winter love,1963,
54,tony bennett,tony bennett,55,i wanna be around,1963,
55,the miracles,the miracles,56,you've really got a hold on me,1963,
56,the jaynetts,the jaynetts,57,sally go 'round the roses,1963,
57,elvis presley,elvis presley,58,(you're the) devil in disguise,1963,
58,nat king cole,nat king cole,59,those lazy-hazy-crazy days of summer,1963,
59,jackie wilson,jackie wilson,60,baby workout,1963,
60,marvin gaye,marvin gaye,61,pride and joy,1963,
61,nino tempo & april stevens,nino tempo & april stevens,62,deep purple,1963,
62,ned miller,ned miller,63,from a jack to a king,1963,
63,the drifters,the drifters,64,up on the roof,1963,
64,johnny mathis,johnny mathis,65,what will my mary say,1963,
65,jan bradley,jan bradley,66,mama didn't lie,1963,
66,bobby vee,bobby vee,67,the night has a thousand eyes,1963,
67,the cookies,the cookies,68,don't say nothin' bad (about my baby),1963,
68,johnny cash,johnny cash,69,ring of fire,1963,
69,doris troy,doris troy,70,just one look,1963,
70,allan sherman,allan sherman,71,"hello muddah, hello fadduh",1963,
71,lesley gore,lesley gore,72,judy's turn to cry,1963,
72,rolf harris,rolf harris,73,"tie me kangaroo down, sport",1963,
73,rick nelson,ricky nelson,74,fools rush in,1963,
74,the village stompers,the village stompers,75,washington square,1963,
75,dion,dion,76,donna the prima donna,1963,
76,nat king cole,nat king cole,77,"that sunday, that summer",1963,
77,sam cooke,sam cooke,78,another saturday night,1963,
78,al martino,al martino,79,"painted, tainted rose",1963,
79,steve lawrence,steve lawrence,80,go away little girl,1963,
80,ray charles,ray charles,81,take these chains from my heart,1963,
81,sunny & the sunglows,sunny & the sunglows,82,talk to me,1963,
82,martha and the vandellas,martha and the vandellas,83,come and get these memories,1963,
83,dee dee sharp,dee dee sharp,84,do the bird,1963,
84,the impressions,the impressions,85,it's all right,1963,
85,the beach boys,the beach boys,86,shut down,1963,
86,the chiffons,the chiffons,87,one fine day,1963,
87,del shannon,del shannon,88,little town flirt,1963,
88,joe harnell,joe harnell,89,fly me to the moon,1963,
89,the kingston trio,the kingston trio,90,the reverend mr. black,1963,
90,the dartells,the dartells,91,hot pastrami,1963,
91,the ran-dells,the ran-dells,92,martian hop,1963,
92,the tymes,the tymes,93,wonderful! wonderful!,1963,
93,george hamilton iv,george hamilton iv,94,abilene,1963,
94,little johnny taylor,little johnny taylor,95,part time love,1963,
95,los indios tabajaras,los indios tabajaras,96,maria elena,1963,
96,bobby bare,bobby bare,97,detroit city,1963,
97,chubby checker,chubby checker,98,twenty miles,1963,
